Território;Nome do território;Sexo;Ano;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.);População
430020;Ajuricaba;Mulheres;2001;23;591.41;577.53;3889
430020;Ajuricaba;Mulheres;2002;22;566.28;553.24;3885
430020;Ajuricaba;Mulheres;2003;19;489.69;451.35;3880
430020;Ajuricaba;Mulheres;2004;31;801.66;708.61;3867
430020;Ajuricaba;Mulheres;2005;28;726.52;643.41;3854
430020;Ajuricaba;Mulheres;2006;19;495.7;425.09;3833
430020;Ajuricaba;Mulheres;2007;22;575.92;491.06;3820
430020;Ajuricaba;Mulheres;2008;25;657.72;522.29;3801
430020;Ajuricaba;Mulheres;2009;17;449.38;339.74;3783
430020;Ajuricaba;Mulheres;2010;24;638.13;463.55;3761
430020;Ajuricaba;Mulheres;2011;15;401.28;269.4;3738
430020;Ajuricaba;Mulheres;2012;18;484;328.12;3719
430020;Ajuricaba;Mulheres;2013;31;838.29;532.56;3698
430020;Ajuricaba;Mulheres;2014;37;1003.25;648.31;3688
430020;Ajuricaba;Mulheres;2015;33;900.16;595.87;3666
430020;Ajuricaba;Mulheres;2016;20;548.25;339.08;3648
430020;Ajuricaba;Mulheres;2017;26;716.65;419.33;3628
430020;Ajuricaba;Mulheres;2018;30;831.95;467.86;3606
430020;Ajuricaba;Mulheres;2019;26;726.46;369.92;3579
430020;Ajuricaba;Mulheres;2020;32;897.11;501.38;3567
430020;Ajuricaba;Mulheres;2021;41;1158.19;675.53;3540
430020;Ajuricaba;Mulheres;2022;29;828.1;422.73;3502
430020;Ajuricaba;Mulheres;2023;29;835.73;434.43;3470
430020;Ajuricaba;Mulheres;2024;33;956.52;451.23;3450
430020;Ajuricaba;Mulheres;2025;14;406.74;208.26;3442
430030;Alecrim;Ambos;2000;48;554.34;604.95;8659
430030;Alecrim;Ambos;2001;63;737.53;803.35;8542
430030;Alecrim;Ambos;2002;58;688.59;701.31;8423
430030;Alecrim;Ambos;2003;68;820.96;832.05;8283
430030;Alecrim;Ambos;2004;56;688.81;671.38;8130
430030;Alecrim;Ambos;2005;53;663.16;639.45;7992
430030;Alecrim;Ambos;2006;67;853.72;782.74;7848
430030;Alecrim;Ambos;2007;69;895.75;820.64;7703
430030;Alecrim;Ambos;2008;75;990.75;841.18;7570
430030;Alecrim;Ambos;2009;66;887.34;700.28;7438
430030;Alecrim;Ambos;2010;48;654.84;511.36;7330
430030;Alecrim;Ambos;2011;71;983.38;719.48;7220
430030;Alecrim;Ambos;2012;58;814.04;614.86;7125
430030;Alecrim;Ambos;2013;74;1049.5;720.89;7051
430030;Alecrim;Ambos;2014;81;1161.46;797.17;6974
430030;Alecrim;Ambos;2015;58;840.34;580.21;6902
430030;Alecrim;Ambos;2016;64;937.32;600.73;6828
430030;Alecrim;Ambos;2017;60;887.44;594.76;6761
430030;Alecrim;Ambos;2018;67;1002.99;632.51;6680
430030;Alecrim;Ambos;2019;80;1209.92;707.58;6612
430030;Alecrim;Ambos;2020;87;1325.82;820.58;6562
430030;Alecrim;Ambos;2021;85;1311.73;745.71;6480
430030;Alecrim;Ambos;2022;103;1611.89;943.86;6390
430030;Alecrim;Ambos;2023;85;1350.49;703.87;6294
430030;Alecrim;Ambos;2024;99;1589.6;786.7;6228
430030;Alecrim;Ambos;2025;68;1093.42;596.64;6219
430030;Alecrim;Homens;2000;30;686.97;813.23;4367
430030;Alecrim;Homens;2001;41;952.6;1142.2;4304
430030;Alecrim;Homens;2002;32;754.9;774.05;4239
430030;Alecrim;Homens;2003;43;1033.16;1086.13;4162
430030;Alecrim;Homens;2004;26;637.41;638.59;4079
430030;Alecrim;Homens;2005;35;873.25;917.76;4008
430030;Alecrim;Homens;2006;31;788.8;749;3930
430030;Alecrim;Homens;2007;36;935.31;892.52;3849
430030;Alecrim;Homens;2008;43;1138.47;1014.72;3777
430030;Alecrim;Homens;2009;32;862.07;725.21;3712
430030;Alecrim;Homens;2010;29;793.87;673.59;3653
430030;Alecrim;Homens;2011;41;1140.47;904.67;3595
430030;Alecrim;Homens;2012;38;1071.03;859.27;3548
